Corroios,05:13:00,05:43:00,06:08:00,06:23:00,06:38:00,06:53:00,07:08:00,07:23:00,07:38:00,07:53:00,08:08:00,08:23:00,08:38:00,08:53:00,09:08:00,09:23:00,09:38:00,09:53:00,10:08:00,10:23:00,10:38:00,10:53:00,11:08:00,11:23:00,11:38:00,11:53:00,12:08:00,12:23:00,12:38:00,12:53:00,13:08:00,13:23:00,13:38:00,13:53:00,14:08:00,14:23:00,14:38:00,14:53:00,15:08:00,15:23:00,15:38:00,15:53:00,16:08:00,16:23:00,16:38:00,16:53:00,17:08:00,17:23:00,17:38:00,17:53:00,18:08:00,18:23:00,18:38:00,18:53:00,19:08:00,19:23:00,19:38:00,19:53:00,20:08:00,20:23:00,20:38:00,20:53:00,21:08:00,21:23:00,21:38:00,21:53:00,22:08:00,22:23:00,22:38:00,22:53:00,23:08:00,23:23:00,23:38:00,23:53:00,00:13:00,00:43:00,01:13:00,01:43:00
Casa do Povo,05:15:00,05:45:00,06:10:00,06:25:00,06:40:00,06:55:00,07:10:00,07:25:00,07:40:00,07:55:00,08:10:00,08:25:00,08:40:00,08:55:00,09:10:00,09:25:00,09:40:00,09:55:00,10:10:00,10:25:00,10:40:00,10:55:00,11:10:00,11:25:00,11:40:00,11:55:00,12:10:00,12:25:00,12:40:00,12:55:00,13:10:00,13:25:00,13:40:00,13:55:00,14:10:00,14:25:00,14:40:00,14:55:00,15:10:00,15:25:00,15:40:00,15:55:00,16:10:00,16:25:00,16:40:00,16:55:00,17:10:00,17:25:00,17:40:00,17:55:00,18:10:00,18:25:00,18:40:00,18:55:00,19:10:00,19:25:00,19:40:00,19:55:00,20:10:00,20:25:00,20:40:00,20:55:00,21:10:00,21:25:00,21:40:00,21:55:00,22:10:00,22:25:00,22:40:00,22:55:00,23:10:00,23:25:00,23:40:00,23:55:00,00:15:00,00:45:00,01:15:00,01:45:00
Santo Amaro,05:16:00,05:46:00,06:11:00,06:26:00,06:41:00,06:56:00,07:11:00,07:26:00,07:41:00,07:56:00,08:11:00,08:26:00,08:41:00,08:56:00,09:11:00,09:26:00,09:41:00,09:56:00,10:11:00,10:26:00,10:41:00,10:56:00,11:11:00,11:26:00,11:41:00,11:56:00,12:11:00,12:26:00,12:41:00,12:56:00,13:11:00,13:26:00,13:41:00,13:56:00,14:11:00,14:26:00,14:41:00,14:56:00,15:11:00,15:26:00,15:41:00,15:56:00,16:11:00,16:26:00,16:41:00,16:56:00,17:11:00,17:26:00,17:41:00,17:56:00,18:11:00,18:26:00,18:41:00,18:56:00,19:11:00,19:26:00,19:41:00,19:56:00,20:11:00,20:26:00,20:41:00,20:56:00,21:11:00,21:26:00,21:41:00,21:56:00,22:11:00,22:26:00,22:41:00,22:56:00,23:11:00,23:26:00,23:41:00,23:56:00,00:16:00,00:46:00,01:16:00,01:46:00
Laranjeiro,05:18:00,05:48:00,06:13:00,06:28:00,06:43:00,06:58:00,07:13:00,07:28:00,07:43:00,07:58:00,08:13:00,08:28:00,08:43:00,08:58:00,09:13:00,09:28:00,09:43:00,09:58:00,10:13:00,10:28:00,10:43:00,10:58:00,11:13:00,11:28:00,11:43:00,11:58:00,12:13:00,12:28:00,12:43:00,12:58:00,13:13:00,13:28:00,13:43:00,13:58:00,14:13:00,14:28:00,14:43:00,14:58:00,15:13:00,15:28:00,15:43:00,15:58:00,16:13:00,16:28:00,16:43:00,16:58:00,17:13:00,17:28:00,17:43:00,17:58:00,18:13:00,18:28:00,18:43:00,18:58:00,19:13:00,19:28:00,19:43:00,19:58:00,20:13:00,20:28:00,20:43:00,20:58:00,21:13:00,21:28:00,21:43:00,21:58:00,22:13:00,22:28:00,22:43:00,22:58:00,23:13:00,23:28:00,23:43:00,23:58:00,00:18:00,00:48:00,01:18:00,01:48:00
António Gedeão,05:20:00,05:50:00,06:15:00,06:30:00,06:45:00,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,00:00:00,00:20:00,00:50:00,01:20:00,01:50:00
Parque da Paz,05:21:00,05:51:00,06:16:00,06:31:00,06:46:00,07:01:00,07:16:00,07:31:00,07:46:00,08:01:00,08:16:00,08:31:00,08:46:00,09:01:00,09:16:00,09:31:00,09:46:00,10:01:00,10:16:00,10:31:00,10:46:00,11:01:00,11:16:00,11:31:00,11:46:00,12:01:00,12:16:00,12:31:00,12:46:00,13:01:00,13:16:00,13:31:00,13:46:00,14:01:00,14:16:00,14:31:00,14:46:00,15:01:00,15:16:00,15:31:00,15:46:00,16:01:00,16:16:00,16:31:00,16:46:00,17:01:00,17:16:00,17:31:00,17:46:00,18:01:00,18:16:00,18:31:00,18:46:00,19:01:00,19:16:00,19:31:00,19:46:00,20:01:00,20:16:00,20:31:00,20:46:00,21:01:00,21:16:00,21:31:00,21:46:00,22:01:00,22:16:00,22:31:00,22:46:00,23:01:00,23:16:00,23:31:00,23:46:00,00:01:00,00:21:00,00:51:00,01:21:00,01:51:00
Cova da Piedade,05:23:00,05:53:00,06:18:00,06:33:00,06:48:00,07:03:00,07:18:00,07:33:00,07:48:00,08:03:00,08:18:00,08:33:00,08:48:00,09:03:00,09:18:00,09:33:00,09:48:00,10:03:00,10:18:00,10:33:00,10:48:00,11:03:00,11:18:00,11:33:00,11:48:00,12:03:00,12:18:00,12:33:00,12:48:00,13:03:00,13:18:00,13:33:00,13:48:00,14:03:00,14:18:00,14:33:00,14:48:00,15:03:00,15:18:00,15:33:00,15:48:00,16:03:00,16:18:00,16:33:00,16:48:00,17:03:00,17:18:00,17:33:00,17:48:00,18:03:00,18:18:00,18:33:00,18:48:00,19:03:00,19:18:00,19:33:00,19:48:00,20:03:00,20:18:00,20:33:00,20:48:00,21:03:00,21:18:00,21:33:00,21:48:00,22:03:00,22:18:00,22:33:00,22:48:00,23:03:00,23:18:00,23:33:00,23:48:00,00:03:00,00:23:00,00:53:00,01:23:00,01:53:00
Ramalha,05:25:00,05:55:00,06:20:00,06:35:00,06:50:00,07:05:00,07:20:00,07:35:00,07:50:00,08:05:00,08:20:00,08:35:00,08:50:00,09:05:00,09:20:00,09:35:00,09:50:00,10:05:00,10:20:00,10:35:00,10:50:00,11:05:00,11:20:00,11:35:00,11:50:00,12:05:00,12:20:00,12:35:00,12:50:00,13:05:00,13:20:00,13:35:00,13:50:00,14:05:00,14:20:00,14:35:00,14:50:00,15:05:00,15:20:00,15:35:00,15:50:00,16:05:00,16:20:00,16:35:00,16:50:00,17:05:00,17:20:00,17:35:00,17:50:00,18:05:00,18:20:00,18:35:00,18:50:00,19:05:00,19:20:00,19:35:00,19:50:00,20:05:00,20:20:00,20:35:00,20:50:00,21:05:00,21:20:00,21:35:00,21:50:00,22:05:00,22:20:00,22:35:00,22:50:00,23:05:00,23:20:00,23:35:00,23:50:00,00:05:00,00:25:00,00:55:00,01:25:00,01:55:00
Pragal,05:28:00,05:58:00,06:23:00,06:38:00,06:53:00,07:08:00,07:23:00,07:38:00,07:53:00,08:08:00,08:23:00,08:38:00,08:53:00,09:08:00,09:23:00,09:38:00,09:53:00,10:08:00,10:23:00,10:38:00,10:53:00,11:08:00,11:23:00,11:38:00,11:53:00,12:08:00,12:23:00,12:38:00,12:53:00,13:08:00,13:23:00,13:38:00,13:53:00,14:08:00,14:23:00,14:38:00,14:53:00,15:08:00,15:23:00,15:38:00,15:53:00,16:08:00,16:23:00,16:38:00,16:53:00,17:08:00,17:23:00,17:38:00,17:53:00,18:08:00,18:23:00,18:38:00,18:53:00,19:08:00,19:23:00,19:38:00,19:53:00,20:08:00,20:23:00,20:38:00,20:53:00,21:08:00,21:23:00,21:38:00,21:53:00,22:08:00,22:23:00,22:38:00,22:53:00,23:08:00,23:23:00,23:38:00,23:53:00,00:08:00,00:28:00,00:58:00,01:28:00,01:58:00
